activation,iter,gW1_mean_abs,gW2_mean_abs,train_acc,val_acc
sigmoid,1,0.0004128068143394265,0.004902001671320518,0.2380808416724612,0.2380606939910531
sigmoid,2,0.0004057295637163124,0.004751516074484662,0.2380808416724612,0.2380606939910531
sigmoid,3,0.0003990440545501231,0.0046061832308775166,0.2380808416724612,0.2380606939910531
sigmoid,4,0.00039256783589823103,0.004466420952809644,0.2380808416724612,0.2380606939910531
sigmoid,5,0.0003863194712884619,0.004332304318072579,0.2380808416724612,0.2380606939910531
sigmoid,6,0.00038032076829348815,0.004203664712360923,0.2380808416724612,0.23878612017893847
sigmoid,7,0.0003745539339885265,0.004080684982669391,0.23850409650210116,0.34034578648289204
sigmoid,8,0.000369070846034561,0.003962395331574577,0.3323759712186716,0.553500181356547
sigmoid,9,0.00036389631576907354,0.0038474857229101643,0.5427336215497173,0.5735703058880426
sigmoid,10,0.00035887550337019767,0.0037362060507397177,0.5720591347461983,0.5623261999758191
sigmoid,11,0.0003540271785610471,0.0036280365118116866,0.5614475315173686,0.5630516261637045
sigmoid,12,0.00034938835172088057,0.003522928210134929,0.5619917162983342,0.5628098174344094
sigmoid,13,0.00034494549076171754,0.0034208233033511458,0.5622033437131542,0.563172530528352
sigmoid,14,0.0003407209251601807,0.0033216542819043716,0.5625056685914684,0.5634143392576472
sigmoid,15,0.00033666959904282907,0.0032253368507909625,0.5627172960062884,0.5634143392576472
sigmoid,16,0.0003328347305299898,0.003131926933680982,0.5628986909332769,0.5632934348929997
sigmoid,17,0.00032915097303897915,0.003041249178652782,0.5631707833237597,0.563172530528352
sigmoid,18,0.00032562060099653844,0.0029534453398326983,0.5632010158115911,0.563172530528352
sigmoid,19,0.00032232001765857395,0.002868363113094929,0.5632010158115911,0.563172530528352
sigmoid,20,0.00031924622438143257,0.0027859023445219555,0.5632010158115911,0.563172530528352
sigmoid,21,0.0003163186373648445,0.0027059920340857476,0.5632010158115911,0.563172530528352
sigmoid,22,0.00031353691681375713,0.002628526011710122,0.5632010158115911,0.563172530528352
sigmoid,23,0.0003109416749177265,0.0025536489054071177,0.5632010158115911,0.563172530528352
sigmoid,24,0.0003085264503240363,0.0024813716043445605,0.5632010158115911,0.563172530528352
sigmoid,25,0.0003063076723975674,0.002411663600704062,0.5632010158115911,0.563172530528352
sigmoid,26,0.00030418351992925446,0.0023444754980435504,0.5632010158115911,0.563172530528352
sigmoid,27,0.0003021406435590951,0.0022796994236640835,0.5632010158115911,0.563172530528352
sigmoid,28,0.00030027380758055336,0.0022170872886604093,0.5632010158115911,0.563172530528352
sigmoid,29,0.00029857474109463235,0.0021565269131644735,0.5632010158115911,0.563172530528352
sigmoid,30,0.0002969426877367729,0.0020982434741246047,0.5632010158115911,0.563172530528352
sigmoid,31,0.00029536407024282696,0.0020419330986792368,0.5632010158115911,0.563172530528352
